activity_id,user_id,activity_date,activity_type,points_earned
A00001,U1446,2025-11-26,Quest Complete,37
A00002,U2065,2025-11-04,Message,32
A00003,U4711,2025-08-18,Event Join,8
A00004,U3983,2024-08-12,Message,7
A00005,U4493,2026-03-11,Quest Complete,3
A00006,U1938,2025-07-24,Referral,1
A00007,U4510,2025-06-10,Referral,40
A00008,U0187,2025-04-22,Event Join,33
A00009,U4041,2025-05-22,AMA Join,42
A00010,U4668,2024-07-26,Quest Complete,22
A00011,U4609,2026-01-21,Message,15
A00012,U4297,2025-08-29,Event Join,36
A00013,U1111,2024-11-16,Referral,31
A00014,U1127,2026-06-09,Event Join,46
A00015,U0278,2024-09-15,Message,7
A00016,U0698,2025-07-20,AMA Join,1
A00017,U1500,2025-07-31,Event Join,41
A00018,U0633,2025-05-25,Referral,34
A00019,U2658,2025-03-16,Message,3
A00020,U4315,2024-07-25,Quest Complete,9
A00021,U0367,2024-04-23,Message,17
A00022,U3680,2026-04-07,AMA Join,13
A00023,U0282,2025-05-18,Quest Complete,14
A00024,U4013,2024-10-12,AMA Join,46
A00025,U0796,2025-03-11,Message,49
A00026,U3114,2024-10-16,Message,41
A00027,U3757,2026-04-26,Referral,8
A00028,U1542,2025-08-02,Quest Complete,43
A00029,U1515,2025-03-07,Referral,9
A00030,U2282,2025-02-21,Message,34
A00031,U2585,2024-05-03,Referral,28
A00032,U3623,2026-03-10,Quest Complete,33
A00033,U0016,2024-05-20,Referral,12
A00034,U0875,2025-04-12,Message,25
A00035,U1374,2024-07-12,Referral,39
A00036,U1607,2024-12-21,Referral,25
A00037,U4168,2025-12-14,Referral,45
A00038,U0361,2026-01-20,Event Join,26
A00039,U2947,2025-12-06,Event Join,29
A00040,U3162,2025-12-11,AMA Join,27
A00041,U4419,2025-04-05,Referral,20
A00042,U3047,2025-04-17,Referral,21
A00043,U1086,2025-09-06,AMA Join,13
A00044,U3615,2025-03-06,Referral,46
A00045,U4029,2026-02-15,Event Join,44
A00046,U4998,2025-11-20,AMA Join,33
A00047,U2646,2025-10-16,Event Join,46
A00048,U2839,2025-09-29,Event Join,36
A00049,U2991,2025-09-25,Referral,37
A00050,U0132,2025-11-06,Quest Complete,44
A00051,U0847,2024-11-27,Event Join,28
A00052,U1445,2024-05-11,Referral,7
A00053,U2856,2024-10-29,Quest Complete,10
A00054,U1224,2024-04-23,Message,13
A00055,U1791,2024-12-27,AMA Join,19
A00056,U3429,2024-10-05,Event Join,10
A00057,U3542,2024-04-29,Event Join,14
A00058,U2080,2024-12-10,Message,23
A00059,U0005,2024-12-31,Message,40
A00060,U3828,2026-05-19,Referral,15
A00061,U2555,2025-10-18,Referral,25
A00062,U1821,2024-11-09,Referral,45
A00063,U0294,2024-08-31,Message,25
A00064,U1587,2024-11-24,Quest Complete,44
A00065,U3020,2024-11-12,Referral,4
A00066,U3386,2024-11-06,Event Join,13
A00067,U3600,2024-10-30,Quest Complete,15
A00068,U4770,2025-05-06,Event Join,49
A00069,U2499,2024-07-01,Referral,48
A00070,U3488,2025-10-17,AMA Join,50
A00071,U4724,2025-08-14,Event Join,29
A00072,U4802,2025-06-30,Message,12
A00073,U2804,2025-12-14,Referral,8
A00074,U1050,2025-07-02,Message,28
A00075,U4309,2024-12-04,Referral,17
A00076,U2918,2025-05-08,AMA Join,38
A00077,U2366,2025-11-26,Message,22
A00078,U2899,2024-12-15,AMA Join,3
A00079,U4391,2025-05-30,Event Join,39
A00080,U2331,2024-11-13,Referral,43
A00081,U4079,2025-06-15,Quest Complete,37
A00082,U0853,2025-01-21,Event Join,5
A00083,U3101,2024-10-24,Referral,15
A00084,U3182,2024-02-22,Referral,5
