campaign_id,campaign_name,start_date,spend_usd,end_date
C001,Twitter Growth Campaign,2024-01-01,2377,2024-01-30
C002,Airdrop Campaign,2024-02-01,4480,2024-03-01
C003,Community Quest Program,2024-03-01,2010,2024-03-30
C004,Referral Drive,2024-04-01,8756,2024-04-30
C005,Ambassador Recruitment,2024-05-01,2577,2024-05-30
C006,Discord Expansion,2024-06-01,5360,2024-06-30
C007,Telegram Growth Push,2024-07-01,5179,2024-07-30
C008,NFT Giveaway Campaign,2024-08-01,6485,2024-08-30
C009,AMA Engagement Series,2024-09-01,9570,2024-09-30
C010,Web3 Education Program,2024-10-01,7650,2024-10-30
C011,Hackathon Promotion,2024-11-01,5702,2024-11-30
C012,Partnership Awareness Campaign,2024-12-01,5180,2024-12-30
