user_id,join_date,source,country,wallet_connected
U0001,16-10-2025,Discord Invite,UK,Yes
U0002,24-04-2024,Ambassador Program,Nigeria,Yes
U0003,26-01-2024,Event,Brazil,No
U0004,08-10-2024,Referral,UK,No
U0005,07-09-2024,Twitter,Canada,Yes
U0006,16-08-2024,Twitter,Germany,Yes
U0007,22-05-2024,Twitter,Singapore,Yes
U0008,14-04-2024,Ambassador Program,Singapore,Yes
U0009,23-11-2025,Referral,Brazil,Yes
U0010,12-07-2025,Event,Singapore,Yes
U0011,30-03-2024,Twitter,UK,No
U0012,27-08-2025,Ambassador Program,Australia,Yes
U0013,08-03-2025,Event,Singapore,Yes
U0014,02-02-2024,Twitter,Brazil,Yes
U0015,31-01-2024,Twitter,Singapore,Yes
U0016,05-04-2024,Twitter,Singapore,Yes
U0017,11-08-2024,Twitter,Philippines,No
U0018,26-08-2024,Discord Invite,UK,No
U0019,01-06-2025,Discord Invite,Canada,Yes
U0020,08-09-2025,Twitter,India,Yes
U0021,28-01-2024,Referral,Australia,No
U0022,28-07-2025,Twitter,Singapore,Yes
U0023,22-07-2024,Twitter,Nigeria,No
U0024,27-10-2025,Discord Invite,Singapore,Yes
U0025,19-12-2025,Discord Invite,Philippines,Yes
U0026,12-07-2025,Event,Canada,Yes
U0027,05-03-2025,Twitter,Nigeria,Yes
U0028,13-08-2024,Discord Invite,Australia,No
U0029,04-04-2025,Referral,Nigeria,Yes
U0030,26-08-2025,Twitter,UK,Yes
U0031,11-10-2024,Referral,Brazil,Yes
U0032,07-01-2024,Twitter,Brazil,No
U0033,12-06-2024,Twitter,Australia,Yes
U0034,15-12-2025,Ambassador Program,Canada,No
U0035,08-03-2025,Ambassador Program,Brazil,Yes
U0036,14-12-2024,Event,USA,Yes
U0037,11-10-2024,Twitter,Philippines,Yes
U0038,08-06-2024,Twitter,Australia,Yes
U0039,08-08-2024,Referral,Australia,Yes
U0040,10-12-2024,Discord Invite,India,Yes
U0041,14-04-2024,Twitter,India,Yes
U0042,04-04-2024,Discord Invite,UK,Yes
U0043,24-01-2025,Twitter,UK,Yes
U0044,09-04-2024,Ambassador Program,India,Yes
U0045,02-01-2025,Twitter,Brazil,No
U0046,18-12-2024,Referral,Germany,Yes
U0047,10-09-2025,Twitter,Australia,No
U0048,27-09-2024,Discord Invite,USA,Yes
U0049,14-02-2024,Discord Invite,Australia,Yes
U0050,15-04-2025,Twitter,Singapore,Yes
U0051,03-07-2025,Ambassador Program,Canada,Yes
U0052,07-05-2024,Event,Philippines,Yes
U0053,22-01-2025,Ambassador Program,Germany,Yes
U0054,21-03-2024,Ambassador Program,USA,Yes
U0055,19-07-2025,Referral,Singapore,Yes
U0056,27-10-2024,Ambassador Program,UK,No
U0057,05-10-2025,Twitter,USA,No
U0058,25-09-2025,Twitter,India,Yes
U0059,05-01-2025,Twitter,Australia,Yes
U0060,14-08-2025,Twitter,USA,No
U0061,15-07-2024,Discord Invite,Canada,No
U0062,22-12-2025,Twitter,Nigeria,Yes
U0063,12-03-2024,Event,UK,Yes
U0064,16-02-2024,Discord Invite,Philippines,No
U0065,08-11-2025,Twitter,Philippines,No
U0066,21-08-2024,Discord Invite,USA,Yes
U0067,23-10-2024,Twitter,Nigeria,Yes
U0068,22-03-2024,Event,Australia,No
U0069,26-08-2024,Twitter,Singapore,No
U0070,13-04-2024,Ambassador Program,Germany,No
U0071,24-01-2025,Event,Australia,No
U0072,11-10-2024,Twitter,Singapore,Yes
U0073,09-04-2025,Twitter,Germany,No
U0074,12-10-2025,Event,Nigeria,Yes
U0075,08-01-2025,Event,Germany,No
U0076,15-06-2024,Event,Australia,Yes
U0077,14-01-2025,Event,Canada,No
U0078,29-12-2024,Twitter,USA,Yes
U0079,02-08-2024,Discord Invite,Singapore,Yes
U0080,17-11-2025,Twitter,Canada,Yes
U0081,30-09-2024,Ambassador Program,Singapore,Yes
U0082,19-12-2025,Referral,USA,No
U0083,30-11-2025,Twitter,Brazil,No
U0084,25-10-2025,Twitter,Germany,Yes
U0085,14-03-2024,Twitter,Nigeria,Yes
U0086,15-09-2025,Twitter,Brazil,No
U0087,12-10-2025,Event,Brazil,No
U0088,24-06-2024,Referral,Philippines,No
U0089,30-06-2025,Ambassador Program,India,No
U0090,07-09-2024,Discord Invite,Australia,No
U0091,16-06-2024,Twitter,Canada,Yes
U0092,18-04-2025,Event,Canada,No
U0093,23-01-2025,Event,Canada,Yes
U0094,03-10-2024,Referral,Canada,No
U0095,17-10-2025,Event,Australia,No
U0096,05-12-2025,Discord Invite,Brazil,Yes
U0097,24-07-2025,Discord Invite,Australia,Yes
U0098,12-08-2024,Discord Invite,Canada,Yes
U0099,02-12-2025,Twitter,India,Yes
U0100,28-11-2024,Twitter,UK,Yes
U0101,27-02-2024,Twitter,USA,No
U0102,22-08-2024,Referral,Canada,Yes
U0103,02-02-2024,Twitter,Nigeria,Yes
U0104,19-11-2024,Discord Invite,UK,No
U0105,14-02-2025,Ambassador Program,Australia,No
U0106,01-10-2024,Twitter,Nigeria,Yes
U0107,08-03-2024,Discord Invite,Nigeria,No
U0108,04-08-2024,Event,Singapore,Yes
U0109,03-08-2025,Twitter,Nigeria,Yes
U0110,18-11-2024,Twitter,Canada,Yes
U0111,05-08-2024,Twitter,Singapore,Yes
U0112,02-11-2025,Twitter,Philippines,Yes
U0113,26-05-2025,Ambassador Program,Brazil,No
U0114,09-02-2025,Event,Nigeria,No
U0115,20-10-2025,Referral,India,Yes
U0116,14-04-2025,Ambassador Program,USA,Yes
U0117,26-05-2024,Event,Nigeria,Yes
U0118,28-09-2024,Twitter,Philippines,No
U0119,22-05-2024,Ambassador Program,Germany,No
U0120,09-09-2024,Discord Invite,Australia,Yes
U0121,28-07-2025,Event,Australia,Yes
U0122,05-07-2025,Ambassador Program,Philippines,Yes
U0123,26-09-2024,Twitter,Germany,Yes
